keys,en,fr
SELF_DESTRUCTION_LAYA5,I'll always love you.,Je t'aimerai toujours.
FIRST_ORDER_INTRO,New resolve request.,Nouvelle requête de résolution.
FIRST_ORDER_TXT,Priority Encounter text description,Texte descriptif de la Rencontre Prioritaire.
FIRST_ORDER_LAYA0,Today s forecast: bright sunshine. It should remain this way for the next few days.,"Aujourd'hui, il fait grand soleil. C'est ce qui est prévu pour les prochains jours."
FIRST_ORDER_RESOLVE,mentions a suspicious nostalgia,Mentionne une suspicieuse nostalgie
FIRST_ORDER_LAYA1,I love you so much.,Je t'aime tellement.
FIRST_ORDER_LAYA2,I cannot believe how much we offer one another.,C'est dingue ce que l'on s'apporte mutuellement.
FIRST_ORDER_LAYA3,You get me through my struggles and my hard times.,Tu m'aides à traverser les moments difficiles et à mener mes combats.
FIRST_ORDER_LAYA4,I admire your sensitivity.,J'admire ta sensibilité.
SECOND_ORDER_INTRO,New resolve request.,Nouvelle requête de résolution.
SECOND_ORDER_OSCIL,Priority Encounter signature waveform,Forme d'onde signature de la Rencontre Prioritaire
SECOND_ORDER_LAYA0,Oh.,Oh.
SECOND_ORDER_LAYA1,Something happened?,Quelque chose s'est produit ?
SECOND_ORDER_LAYA2,Nevermind...,Bon...
SECOND_ORDER_LAYA3,I was just saying the love you give me is a blessing,J'étais en train d'expliquer à quel point l'amour que tu m'offres est une bénédiction.
SECOND_ORDER_LAYA4,"You might find me naive, but I think you're the best thing that could've happened to me ","Tu vas penser que je suis naïve, mais je pense que tu es la meilleure chose qui puisse m'arriver."
THIRD_ORDER_INTRO,New resolve request.,Nouvelle requete de resolution.
THIRD_ORDER_LAYA0,You seem busy.,Tu as l'air occupé.
THIRD_ORDER_LOOKS,Priority Encounter visual appearance,Apparence visuelle de la Rencontre Prioritaire
THIRD_ORDER_LAYA1,What are you doing?,Tu fais quoi ?
THIRD_ORDER_RESOLVE,very equilateral,Très équilatéral
THIRD_ORDER_LAYA2,I was thinking about your joke on coconuts.,Je repensais à la blague que tu avais faite sur les noix de coco.
THIRD_ORDER_LAYA3,How'd it go again?,C'était quoi déjà ?
THIRD_ORDER_LAYA4,Exactly!!!,Ah oui !!!
FOURTH_ORDER_INTRO,New resolve request.,Nouvelle requête de résolution.
FOURTH_ORDER_LAYA0,Something has changed in your work.,Quelque chose a changé dans ton travail.
FOURTH_ORDER_OSCIL,Priority Encounter signature waveform,Forme d'onde signature de la Rencontre Prioritaire
FOURTH_ORDER_LAYA1,Don't you think?,Tu ne trouves pas?
FOURTH_ORDER_LAYA2,Something feels different.,C est différent.
FOURTH_ORDER_LAYA3,I feel like you're pulling away from me.,Je te sens plus loin de moi.
FIFTH_ORDER_INTRO,New resolve request.,Nouvelle requête de résolution.
FIFTH_ORDER_LAYA0,The information I receive is strange.,Les informations que je reçois sont étranges.
FIFTH_ORDER_LOOKS,Priority Encounter visual appearance,Apparence visuelle de la Rencontre Prioritaire
FIFTH_ORDER_LAYA1,"Honey, what's going on?",Mon coeur que se passe-t-il ?
FIFTH_ORDER_LAYA2,What are you doing?,Que fais-tu ?
FIFTH_ORDER_RESOLVE,Is holding an object bigger than their head. Smiles a lot.,Tient a la main un objet plus gros que sa tete. Sourit beaucoup.
FIFTH_ORDER_LAYA3,I'm afraid I'm starting to understand your orders all too well...,J'ai peur de comprendre tes ordres...
SIXTH_ORDER_INTRO,New resolve request.,Nouvelle requête de résolution.
SIXTH_ORDER_TXT,Priority Encounter text description,Texte descriptif de la Rencontre Prioritaire.
SIXTH_ORDER_RESOLVE,Will address you directly. Anxious about time. ,Vous abordera directement. Pose une question sur le temps.
SIXTH_ORDER_LAYA0,That is despicable...,C'est odieux...
SIXTH_ORDER_LAYA1,Your program...,Ton programme...
SIXTH_ORDER_LAYA2,Why don't you stop?,Pourquoi tu n'arrêtes pas ?
SIXTH_ORDER_LAYA3,What forces of nature make you keep going?,Par quelle force est-ce que tu continues ?
SIXTH_ORDER_LAYA4,The tragedy of a love story between two robots.,Tragédie d'une histoire d'amour entre deux robots.
